,Orders
2019-06-10,1.0
2019-06-11,14.0
2019-06-12,332.0
2019-06-13,770.0
2019-06-14,840.0
2019-06-15,947.0
2019-06-16,1115.0
2019-06-17,908.0
2019-06-18,927.0
2019-06-19,992.0
2019-06-20,1066.0
2019-06-21,1078.0
2019-06-22,1148.0
2019-06-23,1128.0
2019-06-24,1214.0
2019-06-25,1065.0
2019-06-26,1184.0
2019-06-27,1162.0
2019-06-28,1273.0
2019-06-29,1117.0
2019-06-30,1302.0
2019-07-01,1123.0
2019-07-02,1111.0
2019-07-03,1204.0
2019-07-04,1252.0
2019-07-05,1283.0
2019-07-06,1455.0
2019-07-07,1532.0
2019-07-08,1401.0
2019-07-09,1295.0
2019-07-10,1529.0
2019-07-11,1293.0
2019-07-12,1732.0
2019-07-13,1211.0
2019-07-14,1465.0
2019-07-15,1506.0
2019-07-16,1478.0
2019-07-17,1563.0
2019-07-18,1630.0
2019-07-19,1590.0
2019-07-20,1549.0
2019-07-21,1665.0
2019-07-22,1564.0
2019-07-23,1556.0
2019-07-24,1695.0
2019-07-25,1546.0
2019-07-26,1813.0
2019-07-27,1654.0
2019-07-28,1644.0
2019-07-29,1221.0
2019-07-30,1540.0
2019-07-31,1667.0
2019-08-01,1612.0
2019-08-02,1562.0
2019-08-03,1614.0
2019-08-04,1557.0
2019-08-05,1702.0
2019-08-06,1392.0
2019-08-07,1661.0
2019-08-08,1686.0
2019-08-09,1714.0
2019-08-10,1706.0
2019-08-11,860.0
2019-08-12,1401.0
2019-08-13,1778.0
2019-08-14,1712.0
2019-08-15,1831.0
2019-08-16,1732.0
2019-08-17,1779.0
2019-08-18,1820.0
2019-08-19,1806.0
2019-08-20,1899.0
2019-08-21,1702.0
2019-08-22,1556.0
2019-08-23,1675.0
2019-08-24,1805.0
2019-08-25,1659.0
2019-08-26,1666.0
2019-08-27,1552.0
2019-08-28,1703.0
2019-08-29,1694.0
2019-08-30,1756.0
2019-08-31,1405.0
2019-09-01,1381.0
2019-09-02,1313.0
2019-09-03,1126.0
2019-09-04,1285.0
2019-09-05,1293.0
2019-09-06,1323.0
2019-09-07,1166.0
2019-09-08,1202.0
2019-09-09,1035.0
2019-09-10,1166.0
2019-09-11,1073.0
2019-09-12,1221.0
2019-09-13,1296.0
2019-09-14,1153.0
2019-09-15,1267.0
2019-09-16,1274.0
2019-09-17,1040.0
2019-09-18,1141.0
2019-09-19,1091.0
2019-09-20,1135.0
2019-09-21,983.0
2019-09-22,1114.0
2019-09-23,923.0
2019-09-24,949.0
2019-09-25,855.0
2019-09-26,1101.0
2019-09-27,943.0
2019-09-28,1085.0
2019-09-29,1100.0
2019-09-30,1177.0
2019-10-01,872.0
2019-10-02,758.0
2019-10-03,864.0
2019-10-04,948.0
2019-10-05,888.0
2019-10-06,868.0
2019-10-07,788.0
2019-10-08,683.0
2019-10-09,653.0
2019-10-10,738.0
2019-10-11,792.0
2019-10-12,959.0
2019-10-13,846.0
2019-10-14,732.0
2019-10-15,643.0
2019-10-16,649.0
2019-10-17,669.0
2019-10-18,740.0
2019-10-19,743.0
2019-10-20,896.0
2019-10-21,660.0
2019-10-22,622.0
2019-10-23,572.0
2019-10-24,622.0
2019-10-25,756.0
2019-10-26,793.0
2019-10-27,945.0
2019-10-28,741.0
2019-10-29,701.0
2019-10-30,661.0
2019-10-31,758.0
2019-11-01,829.0
2019-11-02,830.0
2019-11-03,901.0
2019-11-04,956.0
2019-11-05,640.0
2019-11-06,657.0
2019-11-07,641.0
2019-11-08,659.0
2019-11-09,614.0
2019-11-10,866.0
2019-11-11,545.0
2019-11-12,575.0
2019-11-13,478.0
2019-11-14,536.0
2019-11-15,557.0
2019-11-16,681.0
2019-11-17,586.0
2019-11-18,540.0
2019-11-19,419.0
2019-11-20,472.0
2019-11-21,436.0
2019-11-22,523.0
2019-11-23,507.0
2019-11-24,607.0
2019-11-25,464.0
2019-11-26,475.0
2019-11-27,392.0
2019-11-28,471.0
2019-11-29,482.0
2019-11-30,488.0
2019-12-01,440.0
2019-12-02,441.0
2019-12-03,380.0
2019-12-04,390.0
2019-12-05,475.0
2019-12-06,556.0
2019-12-07,456.0
2019-12-08,475.0
2019-12-09,412.0
2019-12-10,391.0
2019-12-11,404.0
2019-12-12,448.0
2019-12-13,445.0
2019-12-14,445.0
2019-12-15,462.0
2019-12-16,393.0
2019-12-17,402.0
2019-12-18,433.0
2019-12-19,486.0
2019-12-20,504.0
2019-12-21,463.0
2019-12-22,425.0
2019-12-23,413.0
2019-12-24,361.0
2019-12-25,418.0
2019-12-26,472.0
2019-12-27,519.0
2019-12-28,550.0
2019-12-29,552.0
2019-12-30,628.0
2019-12-31,415.0
2020-01-01,199.0
2020-01-02,784.0
2020-01-03,916.0
2020-01-04,845.0
2020-01-05,812.0
2020-01-06,822.0
2020-01-07,842.0
2020-01-08,592.0
2020-01-09,579.0
2020-01-10,525.0
2020-01-11,434.0
2020-01-12,478.0
2020-01-13,440.0
2020-01-14,350.0
2020-01-15,336.0
2020-01-16,344.0
2020-01-17,417.0
2020-01-18,388.0
2020-01-19,364.0
2020-01-20,335.0
2020-01-21,275.0
2020-01-22,323.0
2020-01-23,284.0
2020-01-24,353.0
2020-01-25,392.0
2020-01-26,464.0
2020-01-27,410.0
2020-01-28,340.0
2020-01-29,297.0
2020-01-30,383.0
2020-01-31,356.0
2020-02-01,380.0
2020-02-02,412.0
2020-02-03,353.0
2020-02-04,370.0
2020-02-05,328.0
2020-02-06,418.0
2020-02-07,393.0
2020-02-08,347.0
2020-02-09,420.0
2020-02-10,357.0
2020-02-11,369.0
2020-02-12,366.0
2020-02-13,364.0
2020-02-14,437.0
2020-02-15,405.0
2020-02-16,528.0
2020-02-17,362.0
2020-02-18,321.0
2020-02-19,383.0
2020-02-20,406.0
2020-02-21,445.0
2020-02-22,467.0
2020-02-23,457.0
2020-02-24,520.0
2020-02-25,418.0
2020-02-26,422.0
2020-02-27,453.0
2020-02-28,425.0
2020-02-29,447.0
2020-03-01,420.0
2020-03-02,447.0
2020-03-03,483.0
2020-03-04,453.0
2020-03-05,474.0
2020-03-06,540.0
2020-03-07,586.0
2020-03-08,576.0
2020-03-09,619.0
2020-03-10,476.0
2020-03-11,439.0
2020-03-12,428.0
2020-03-13,451.0
2020-03-14,460.0
2020-03-15,440.0
2020-03-16,433.0
2020-03-17,451.0
2020-03-18,425.0
2020-03-19,356.0
2020-03-20,438.0
2020-03-21,384.0
2020-03-22,411.0
2020-03-23,348.0
2020-03-24,401.0
2020-03-25,418.0
2020-03-26,393.0
2020-03-27,341.0
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,39.0
2020-04-14,57.0
2020-04-15,60.0
2020-04-16,36.0
2020-04-17,68.0
2020-04-18,37.0
2020-04-19,38.0
2020-04-20,53.0
2020-04-21,64.0
2020-04-22,62.0
2020-04-23,59.0
2020-04-24,61.0
2020-04-25,59.0
2020-04-26,47.0
2020-04-27,74.0
2020-04-28,62.0
2020-04-29,76.0
2020-04-30,99.0
2020-05-01,55.0
2020-05-02,47.0
2020-05-03,57.0
2020-05-04,65.0
2020-05-05,71.0
2020-05-06,44.0
2020-05-07,87.0
2020-05-08,63.0
2020-05-09,50.0
2020-05-10,101.0
2020-05-11,83.0
2020-05-12,82.0
2020-05-13,88.0
2020-05-14,84.0
2020-05-15,104.0
2020-05-16,96.0
2020-05-17,114.0
2020-05-18,88.0
2020-05-19,117.0
2020-05-20,117.0
2020-05-21,94.0
2020-05-22,100.0
2020-05-23,111.0
2020-05-24,97.0
2020-05-25,118.0
2020-05-26,136.0
2020-05-27,159.0
2020-05-28,131.0
2020-05-29,115.0
2020-05-30,142.0
2020-05-31,157.0
2020-06-01,199.0
2020-06-02,165.0
2020-06-03,133.0
2020-06-04,152.0
2020-06-05,177.0
2020-06-06,179.0
2020-06-07,204.0
2020-06-08,196.0
2020-06-09,208.0
2020-06-10,265.0
2020-06-11,255.0
2020-06-12,180.0
2020-06-13,218.0
2020-06-14,239.0
2020-06-15,270.0
2020-06-16,242.0
2020-06-17,297.0
2020-06-18,283.0
2020-06-19,253.0
2020-06-20,339.0
2020-06-21,288.0
2020-06-22,422.0
2020-06-23,387.0
2020-06-24,377.0
2020-06-25,478.0
2020-06-26,478.0
2020-06-27,537.0
2020-06-28,656.0
2020-06-29,581.0
2020-06-30,705.0
